timestamp,Oak_logs,Willow_logs,Maple_logs,Yew_logs
1559174400000,31,14,7,241
1559260800000,32,14,7,242
1559347200000,31,14,7,242
1559433600000,31,14,8,242
1559520000000,31,14,7,233
1559606400000,31,14,7,223
1559692800000,30,14,7,220
1559779200000,28,14,7,229
1559865600000,27,14,7,237
1559952000000,25,14,7,241
1560038400000,23,14,7,235
1560124800000,21,14,7,223
1560211200000,19,14,7,213
1560297600000,18,14,7,222
1560384000000,18,14,7,233
1560470400000,19,14,7,235
1560556800000,20,14,7,239
1560643200000,21,15,7,243
1560729600000,23,15,7,248
1560816000000,23,15,7,254
1560902400000,23,15,7,265
1560988800000,22,15,8,269
1561075200000,22,15,8,275
1561161600000,24,15,8,278
1561248000000,24,15,8,278
1561334400000,24,15,8,275
1561420800000,25,15,8,272
1561507200000,24,15,8,268
1561593600000,22,15,8,262
1561680000000,20,15,8,256
1561766400000,19,15,8,256
1561852800000,18,15,8,258
1561939200000,19,15,8,256
1562025600000,20,15,8,254
1562112000000,21,15,8,254
1562198400000,19,15,7,256
1562284800000,18,14,7,251
1562371200000,17,15,7,244
1562457600000,17,15,7,243
1562544000000,17,15,7,232
1562630400000,18,15,7,225
1562716800000,19,15,7,228
1562803200000,18,15,7,228
1562889600000,17,15,7,227
1562976000000,18,15,7,229
1563062400000,19,15,7,234
1563148800000,20,15,7,229
1563235200000,21,15,7,226
1563321600000,23,15,7,226
1563408000000,22,15,8,228
1563494400000,21,16,8,229
1563580800000,21,17,8,229
1563667200000,20,17,8,230
1563753600000,20,17,7,227
1563840000000,21,17,7,234
1563926400000,21,17,7,237
1564012800000,23,17,7,235
1564099200000,22,17,7,231
1564185600000,21,17,7,228
1564272000000,20,17,7,227
1564358400000,21,17,7,221
1564444800000,23,17,7,209
1564531200000,23,17,7,204
1564617600000,21,16,7,204
1564704000000,19,16,7,203
1564790400000,18,16,7,205
1564876800000,18,17,7,202
1564963200000,19,17,7,196
1565049600000,19,17,7,195
1565136000000,18,17,7,199
1565222400000,17,17,7,206
1565308800000,16,17,7,207
1565395200000,15,17,7,208
1565481600000,15,18,7,200
1565568000000,16,18,7,193
1565654400000,16,18,7,188
1565740800000,17,18,7,197
1565827200000,17,18,7,200
1565913600000,18,18,7,203
1566000000000,19,17,7,203
1566086400000,20,17,7,205
1566172800000,21,17,7,203
1566259200000,23,17,7,200
1566345600000,25,17,8,200
1566432000000,27,17,8,199
1566518400000,25,17,8,202
1566604800000,23,17,7,202
1566691200000,23,17,7,202
1566777600000,25,17,7,200
1566864000000,27,17,7,194
1566950400000,28,17,8,186
1567036800000,28,17,7,190
1567123200000,30,17,7,195
1567209600000,28,17,7,198
1567296000000,30,17,7,193
1567382400000,31,17,7,191
1567468800000,32,17,8,190
1567555200000,30,17,7,192
1567641600000,28,17,7,192
1567728000000,26,17,7,195
1567814400000,24,17,7,196
1567900800000,24,17,7,199
1567987200000,23,17,7,197
1568073600000,22,17,7,202
1568160000000,20,17,7,206
1568246400000,19,17,7,205
1568332800000,18,17,7,202
1568419200000,17,17,7,202
1568505600000,16,17,7,201
1568592000000,16,17,7,194
1568678400000,17,17,8,194
1568764800000,17,17,8,197
1568851200000,16,17,8,199
1568937600000,15,17,7,199
1569024000000,14,17,7,200
1569110400000,15,17,7,198
1569196800000,16,17,7,191
1569283200000,17,17,7,194
1569369600000,18,17,7,193
1569456000000,19,17,7,192
1569542400000,19,17,7,190
1569628800000,18,17,7,186
1569715200000,17,17,7,185
1569801600000,18,17,7,177
1569888000000,19,17,7,178
1569974400000,19,17,7,180
1570060800000,18,17,7,182
1570147200000,17,17,7,183
1570233600000,17,17,7,180
1570320000000,17,17,7,180
1570406400000,17,17,7,176
1570492800000,17,17,7,171
1570579200000,17,16,7,172
1570665600000,18,16,7,174
1570752000000,18,16,7,173
1570838400000,19,17,7,170
1570924800000,20,17,7,167
1571011200000,21,17,7,167
1571097600000,22,17,7,166
1571184000000,23,17,7,165
1571270400000,24,17,7,165
1571356800000,25,17,7,167
1571443200000,26,17,7,167
1571529600000,28,16,7,168
1571616000000,29,16,7,168
1571702400000,28,16,7,167
1571788800000,27,16,7,168
1571875200000,25,16,7,169
1571961600000,26,16,7,171
1572048000000,25,16,7,172
1572134400000,25,16,7,173
1572220800000,26,16,7,176
1572307200000,26,16,7,178
1572393600000,27,16,7,180
1572480000000,27,16,7,180
1572566400000,26,16,7,178
1572652800000,25,16,7,176
1572739200000,26,16,7,168
1572825600000,28,16,7,170
1572912000000,28,16,7,170
1572998400000,29,15,7,171
1573084800000,29,15,7,170
1573171200000,30,15,7,170
1573257600000,31,16,7,172
1573344000000,31,16,7,175
1573430400000,30,16,7,176
1573516800000,30,16,7,176
1573603200000,30,16,7,177
1573689600000,30,16,7,179
1573776000000,29,16,7,179
1573862400000,31,16,7,179
1573948800000,33,16,7,181
1574035200000,34,16,7,180
1574121600000,36,16,7,184
1574208000000,38,17,7,188
1574294400000,40,17,7,194
1574380800000,41,17,7,193
1574467200000,42,17,7,191
1574553600000,45,17,7,192
1574640000000,45,17,7,196
